context,p_simulator
0.0,0.905
0.05025125628140704,0.865
0.10050251256281408,0.925
0.15075376884422112,0.915
0.20100502512562815,0.9
0.2512562814070352,0.895
0.30150753768844224,0.91
0.35175879396984927,0.895
0.4020100502512563,0.88
0.45226130653266333,0.88
0.5025125628140704,0.875
0.5527638190954774,0.87
0.6030150753768845,0.87
0.6532663316582915,0.9
0.7035175879396985,0.885
0.7537688442211056,0.865
0.8040201005025126,0.91
0.8542713567839196,0.87
0.9045226130653267,0.895
0.9547738693467337,0.87
1.0050251256281408,0.89
1.0552763819095479,0.87
1.105527638190955,0.895
1.155778894472362,0.875
1.206030150753769,0.885
1.256281407035176,0.895
1.306532663316583,0.915
1.35678391959799,0.88
1.407035175879397,0.89
1.4572864321608041,0.88
1.5075376884422111,0.875
1.5577889447236182,0.905
1.6080402010050252,0.89
1.6582914572864322,0.89
1.7085427135678393,0.88
1.7587939698492463,0.895
1.8090452261306533,0.905
1.8592964824120604,0.915
1.9095477386934674,0.915
1.9597989949748744,0.86
2.0100502512562817,0.865
2.0603015075376887,0.9
2.1105527638190957,0.905
2.1608040201005028,0.92
2.21105527638191,0.93
2.261306532663317,0.9
2.311557788944724,0.9
2.361809045226131,0.865
2.412060301507538,0.915
2.462311557788945,0.905
2.512562814070352,0.895
2.562814070351759,0.9
2.613065326633166,0.885
2.663316582914573,0.885
2.71356783919598,0.89
2.763819095477387,0.885
2.814070351758794,0.87
2.864321608040201,0.885
2.9145728643216082,0.915
2.9648241206030153,0.81
3.0150753768844223,0.825
3.0653266331658293,0.925
3.1155778894472363,0.895
3.1658291457286434,0.865
3.2160804020100504,0.865
3.2663316582914574,0.885
3.3165829145728645,0.925
3.3668341708542715,0.925
3.4170854271356785,0.89
3.4673366834170856,0.895
3.5175879396984926,0.905
3.5678391959798996,0.925
3.6180904522613067,0.91
3.6683417085427137,0.89
3.7185929648241207,0.835
3.7688442211055277,0.905
3.819095477386935,0.885
3.869346733668342,0.885
3.919597989949749,0.88
3.969849246231156,0.895
4.020100502512563,0.91
4.07035175879397,0.87
4.120603015075377,0.89
4.170854271356784,0.92
4.2211055276381915,0.925
4.2713567839195985,0.875
4.3216080402010055,0.92
4.371859296482413,0.86
4.42211055276382,0.88
4.472361809045227,0.915
4.522613065326634,0.89
4.572864321608041,0.89
4.623115577889448,0.91
4.673366834170855,0.92
4.723618090452262,0.91
4.773869346733669,0.86
4.824120603015076,0.93
4.874371859296483,0.835
4.92462311557789,0.895
4.974874371859297,0.87
5.025125628140704,0.89
5.075376884422111,0.905
5.125628140703518,0.91
5.175879396984925,0.905
5.226130653266332,0.905
5.276381909547739,0.905
5.326633165829146,0.905
5.376884422110553,0.855
5.42713567839196,0.88
5.477386934673367,0.89
5.527638190954774,0.92
5.577889447236181,0.885
5.628140703517588,0.88
5.678391959798995,0.89
5.728643216080402,0.91
5.778894472361809,0.9
5.8291457286432165,0.895
5.8793969849246235,0.88
5.9296482412060305,0.93
5.9798994974874375,0.875
6.030150753768845,0.925
6.080402010050252,0.895
6.130653266331659,0.895
6.180904522613066,0.895
6.231155778894473,0.87
6.28140703517588,0.895
6.331658291457287,0.865
6.381909547738694,0.85
6.432160804020101,0.885
6.482412060301508,0.89
6.532663316582915,0.89
6.582914572864322,0.91
6.633165829145729,0.915
6.683417085427136,0.875
6.733668341708543,0.89
6.78391959798995,0.845
6.834170854271357,0.88
6.884422110552764,0.88
6.934673366834171,0.925
6.984924623115578,0.86
7.035175879396985,0.89
7.085427135678392,0.865
7.135678391959799,0.87
7.185929648241206,0.9
7.236180904522613,0.875
7.28643216080402,0.905
7.336683417085427,0.89
7.386934673366834,0.915
7.437185929648241,0.885
7.4874371859296485,0.88
7.5376884422110555,0.875
7.5879396984924625,0.925
7.63819095477387,0.89
7.688442211055277,0.915
7.738693467336684,0.895
7.788944723618091,0.915
7.839195979899498,0.865
7.889447236180905,0.895
7.939698492462312,0.915
7.989949748743719,0.885
8.040201005025127,0.9
8.090452261306533,0.93
8.14070351758794,0.89
8.190954773869347,0.935
8.241206030150755,0.875
8.291457286432161,0.9
8.341708542713569,0.85
8.391959798994975,0.885
8.442211055276383,0.87
8.492462311557789,0.915
8.542713567839197,0.935
8.592964824120603,0.905
8.643216080402011,0.87
8.693467336683417,0.865
8.743718592964825,0.855
8.793969849246231,0.88
8.84422110552764,0.86
8.894472361809045,0.855
8.944723618090453,0.88
8.99497487437186,0.87
9.045226130653267,0.855
9.095477386934673,0.865
9.145728643216081,0.885
9.195979899497488,0.89
9.246231155778895,0.885
9.296482412060302,0.855
9.34673366834171,0.915
9.396984924623116,0.89
9.447236180904524,0.875
9.49748743718593,0.82
9.547738693467338,0.905
9.597989949748744,0.895
9.648241206030152,0.9
9.698492462311558,0.89
9.748743718592966,0.9
9.798994974874372,0.86
9.84924623115578,0.885
9.899497487437186,0.84
9.949748743718594,0.885
10.0,0.875
